day,vehicles_generated_day,session,assignment,connection_minute,full_minute,disconnection_minute,connection_timestamp,full_timestamp,disconnection_timestamp,energy_kwh
2,35,18,1,574,1030,1085,2023-01-02 09:34:00,2023-01-02 17:10:00,2023-01-02 18:05:00,20.0
2,35,19,1,584,985,1154,2023-01-02 09:44:00,2023-01-02 16:25:00,2023-01-02 19:14:00,28.0
2,35,20,4,610,692,802,2023-01-02 10:10:00,2023-01-02 11:32:00,2023-01-02 13:22:00,5.0
2,35,21,4,412,532,678,2023-01-02 06:52:00,2023-01-02 08:52:00,2023-01-02 11:18:00,8.0
2,35,22,4,415,559,606,2023-01-02 06:55:00,2023-01-02 09:19:00,2023-01-02 10:06:00,11.0
2,35,23,2,558,810,1004,2023-01-02 09:18:00,2023-01-02 13:30:00,2023-01-02 16:44:00,0.0
2,35,24,1,618,793,1126,2023-01-02 10:18:00,2023-01-02 13:13:00,2023-01-02 18:46:00,16.0
2,35,25,2,552,716,917,2023-01-02 09:12:00,2023-01-02 11:56:00,2023-01-02 15:17:00,12.0
2,35,26,2,569,733,952,2023-01-02 09:29:00,2023-01-02 12:13:00,2023-01-02 15:52:00,12.0
2,35,27,3,396,987,1009,2023-01-02 06:36:00,2023-01-02 16:27:00,2023-01-02 16:49:00,15.0
2,35,28,2,376,503,973,2023-01-02 06:16:00,2023-01-02 08:23:00,2023-01-02 16:13:00,9.0
2,35,29,4,420,536,609,2023-01-02 07:00:00,2023-01-02 08:56:00,2023-01-02 10:09:00,2.0
2,35,30,1,492,876,1120,2023-01-02 08:12:00,2023-01-02 14:36:00,2023-01-02 18:40:00,45.0
2,35,31,0,569,676,1104,2023-01-02 09:29:00,2023-01-02 11:16:00,2023-01-02 18:24:00,3.0
2,35,32,0,472,611,995,2023-01-02 07:52:00,2023-01-02 10:11:00,2023-01-02 16:35:00,6.0
2,35,33,0,443,584,975,2023-01-02 07:23:00,2023-01-02 09:44:00,2023-01-02 16:15:00,4.0
2,35,34,1,456,812,941,2023-01-02 07:36:00,2023-01-02 13:32:00,2023-01-02 15:41:00,11.0
2,35,35,2,696,833,1084,2023-01-02 11:36:00,2023-01-02 13:53:00,2023-01-02 18:04:00,17.0
3,32,1,3,801,1168,1192,2023-01-03 13:21:00,2023-01-03 19:28:00,2023-01-03 19:52:00,10.0
3,32,2,2,591,863,1116,2023-01-03 09:51:00,2023-01-03 14:23:00,2023-01-03 18:36:00,16.0
3,32,3,4,516,644,679,2023-01-03 08:36:00,2023-01-03 10:44:00,2023-01-03 11:19:00,8.0
3,32,4,2,456,719,872,2023-01-03 07:36:00,2023-01-03 11:59:00,2023-01-03 14:32:00,8.0
3,32,5,2,445,691,900,2023-01-03 07:25:00,2023-01-03 11:31:00,2023-01-03 15:00:00,8.0
3,32,6,4,516,585,753,2023-01-03 08:36:00,2023-01-03 09:45:00,2023-01-03 12:33:00,5.0
3,32,7,3,600,828,832,2023-01-03 10:00:00,2023-01-03 13:48:00,2023-01-03 13:52:00,16.0
3,32,8,2,365,628,1038,2023-01-03 06:05:00,2023-01-03 10:28:00,2023-01-03 17:18:00,9.0
3,32,9,2,651,828,1119,2023-01-03 10:51:00,2023-01-03 13:48:00,2023-01-03 18:39:00,15.0
3,32,10,3,581,747,755,2023-01-03 09:41:00,2023-01-03 12:27:00,2023-01-03 12:35:00,9.0
3,32,11,2,415,481,952,2023-01-03 06:55:00,2023-01-03 08:01:00,2023-01-03 15:52:00,12.0
3,32,12,0,496,672,1074,2023-01-03 08:16:00,2023-01-03 11:12:00,2023-01-03 17:54:00,7.0
3,32,13,5,794,1044,1102,2023-01-03 13:14:00,2023-01-03 17:24:00,2023-01-03 18:22:00,4.0
3,32,14,4,519,652,799,2023-01-03 08:39:00,2023-01-03 10:52:00,2023-01-03 13:19:00,5.0
3,32,15,0,516,651,954,2023-01-03 08:36:00,2023-01-03 10:51:00,2023-01-03 15:54:00,5.0
3,32,16,5,938,1111,1176,2023-01-03 15:38:00,2023-01-03 18:31:00,2023-01-03 19:36:00,5.0
3,32,17,2,548,832,962,2023-01-03 09:08:00,2023-01-03 13:52:00,2023-01-03 16:02:00,9.0
3,32,18,3,541,856,871,2023-01-03 09:01:00,2023-01-03 14:16:00,2023-01-03 14:31:00,8.0
3,32,19,2,405,642,971,2023-01-03 06:45:00,2023-01-03 10:42:00,2023-01-03 16:11:00,4.0
3,32,20,2,383,649,801,2023-01-03 06:23:00,2023-01-03 10:49:00,2023-01-03 13:21:00,11.0
3,32,21,4,499,568,719,2023-01-03 08:19:00,2023-01-03 09:28:00,2023-01-03 11:59:00,7.0
3,32,22,1,672,1074,1096,2023-01-03 11:12:00,2023-01-03 17:54:00,2023-01-03 18:16:00,2.0
3,32,23,5,721,762,916,2023-01-03 12:01:00,2023-01-03 12:42:00,2023-01-03 15:16:00,8.0
3,32,24,0,537,676,1070,2023-01-03 08:57:00,2023-01-03 11:16:00,2023-01-03 17:50:00,6.0
3,32,25,0,534,627,1049,2023-01-03 08:54:00,2023-01-03 10:27:00,2023-01-03 17:29:00,8.0
3,32,26,2,497,712,985,2023-01-03 08:17:00,2023-01-03 11:52:00,2023-01-03 16:25:00,11.0
3,32,27,4,599,704,706,2023-01-03 09:59:00,2023-01-03 11:44:00,2023-01-03 11:46:00,3.0
3,32,28,4,471,582,601,2023-01-03 07:51:00,2023-01-03 09:42:00,2023-01-03 10:01:00,4.0
3,32,29,2,539,797,998,2023-01-03 08:59:00,2023-01-03 13:17:00,2023-01-03 16:38:00,9.0
3,32,30,4,383,560,746,2023-01-03 06:23:00,2023-01-03 09:20:00,2023-01-03 12:26:00,7.0
3,32,31,4,471,566,690,2023-01-03 07:51:00,2023-01-03 09:26:00,2023-01-03 11:30:00,11.0
3,32,32,0,490,610,878,2023-01-03 08:10:00,2023-01-03 10:10:00,2023-01-03 14:38:00,3.0
4,29,1,2,448,750,853,2023-01-04 07:28:00,2023-01-04 12:30:00,2023-01-04 14:13:00,11.0
4,29,2,5,860,938,1007,2023-01-04 14:20:00,2023-01-04 15:38:00,2023-01-04 16:47:00,3.0
4,29,3,3,551,721,725,2023-01-04 09:11:00,2023-01-04 12:01:00,2023-01-04 12:05:00,22.0
4,29,4,5,841,865,1146,2023-01-04 14:01:00,2023-01-04 14:25:00,2023-01-04 19:06:00,3.0
4,29,5,1,477,937,1066,2023-01-04 07:57:00,2023-01-04 15:37:00,2023-01-04 17:46:00,28.0
4,29,6,3,586,1336,1378,2023-01-04 09:46:00,2023-01-04 22:16:00,2023-01-04 22:58:00,7.0
4,29,7,2,671,818,1163,2023-01-04 11:11:00,2023-01-04 13:38:00,2023-01-04 19:23:00,13.0
4,29,8,2,452,714,889,2023-01-04 07:32:00,2023-01-04 11:54:00,2023-01-04 14:49:00,8.0
4,29,9,0,469,676,915,2023-01-04 07:49:00,2023-01-04 11:16:00,2023-01-04 15:15:00,4.0
4,29,10,2,535,803,874,2023-01-04 08:55:00,2023-01-04 13:23:00,2023-01-04 14:34:00,12.0
4,29,11,4,511,610,618,2023-01-04 08:31:00,2023-01-04 10:10:00,2023-01-04 10:18:00,6.0
4,29,12,1,622,971,1001,2023-01-04 10:22:00,2023-01-04 16:11:00,2023-01-04 16:41:00,29.0
4,29,13,4,539,655,763,2023-01-04 08:59:00,2023-01-04 10:55:00,2023-01-04 12:43:00,10.0
4,29,14,2,441,745,982,2023-01-04 07:21:00,2023-01-04 12:25:00,2023-01-04 16:22:00,12.0
4,29,15,2,415,664,892,2023-01-04 06:55:00,2023-01-04 11:04:00,2023-01-04 14:52:00,16.0
4,29,16,0,591,709,1006,2023-01-04 09:51:00,2023-01-04 11:49:00,2023-01-04 16:46:00,4.0
4,29,17,0,498,631,996,2023-01-04 08:18:00,2023-01-04 10:31:00,2023-01-04 16:36:00,6.0
4,29,18,2,551,709,939,2023-01-04 09:11:00,2023-01-04 11:49:00,2023-01-04 15:39:00,13.0
4,29,19,5,796,972,1073,2023-01-04 13:16:00,2023-01-04 16:12:00,2023-01-04 17:53:00,2.0
4,29,20,4,483,587,700,2023-01-04 08:03:00,2023-01-04 09:47:00,2023-01-04 11:40:00,5.0
4,29,21,0,426,503,1025,2023-01-04 07:06:00,2023-01-04 08:23:00,2023-01-04 17:05:00,4.0
4,29,22,0,587,722,960,2023-01-04 09:47:00,2023-01-04 12:02:00,2023-01-04 16:00:00,7.0
4,29,23,1,488,808,991,2023-01-04 08:08:00,2023-01-04 13:28:00,2023-01-04 16:31:00,14.0
4,29,24,3,517,1034,1040,2023-01-04 08:37:00,2023-01-04 17:14:00,2023-01-04 17:20:00,26.0
4,29,25,2,426,646,986,2023-01-04 07:06:00,2023-01-04 10:46:00,2023-01-04 16:26:00,7.0
4,29,26,1,516,858,1040,2023-01-04 08:36:00,2023-01-04 14:18:00,2023-01-04 17:20:00,15.0
4,29,27,5,904,1010,1149,2023-01-04 15:04:00,2023-01-04 16:50:00,2023-01-04 19:09:00,2.0
4,29,28,3,445,987,1028,2023-01-04 07:25:00,2023-01-04 16:27:00,2023-01-04 17:08:00,4.0
4,29,29,0,499,609,913,2023-01-04 08:19:00,2023-01-04 10:09:00,2023-01-04 15:13:00,6.0
5,31,1,5,761,974,1027,2023-01-05 12:41:00,2023-01-05 16:14:00,2023-01-05 17:07:00,0.0
5,31,2,2,491,657,1045,2023-01-05 08:11:00,2023-01-05 10:57:00,2023-01-05 17:25:00,5.0
5,31,3,1,570,854,1081,2023-01-05 09:30:00,2023-01-05 14:14:00,2023-01-05 18:01:00,30.0
5,31,4,0,532,602,988,2023-01-05 08:52:00,2023-01-05 10:02:00,2023-01-05 16:28:00,5.0
5,31,5,4,502,698,839,2023-01-05 08:22:00,2023-01-05 11:38:00,2023-01-05 13:59:00,9.0
5,31,6,3,640,860,880,2023-01-05 10:40:00,2023-01-05 14:20:00,2023-01-05 14:40:00,23.0
5,31,7,2,477,768,818,2023-01-05 07:57:00,2023-01-05 12:48:00,2023-01-05 13:38:00,19.0
5,31,8,2,427,567,950,2023-01-05 07:07:00,2023-01-05 09:27:00,2023-01-05 15:50:00,15.0
5,31,9,2,447,673,909,2023-01-05 07:27:00,2023-01-05 11:13:00,2023-01-05 15:09:00,10.0
5,31,10,0,576,679,1054,2023-01-05 09:36:00,2023-01-05 11:19:00,2023-01-05 17:34:00,11.0
5,31,11,2,534,796,982,2023-01-05 08:54:00,2023-01-05 13:16:00,2023-01-05 16:22:00,16.0
5,31,12,4,557,640,660,2023-01-05 09:17:00,2023-01-05 10:40:00,2023-01-05 11:00:00,16.0
5,31,13,3,725,935,943,2023-01-05 12:05:00,2023-01-05 15:35:00,2023-01-05 15:43:00,6.0
5,31,14,2,535,803,973,2023-01-05 08:55:00,2023-01-05 13:23:00,2023-01-05 16:13:00,17.0
5,31,15,2,403,617,992,2023-01-05 06:43:00,2023-01-05 10:17:00,2023-01-05 16:32:00,8.0
5,31,16,2,435,654,976,2023-01-05 07:15:00,2023-01-05 10:54:00,2023-01-05 16:16:00,11.0
5,31,17,2,566,752,1021,2023-01-05 09:26:00,2023-01-05 12:32:00,2023-01-05 17:01:00,9.0
5,31,18,3,286,920,932,2023-01-05 04:46:00,2023-01-05 15:20:00,2023-01-05 15:32:00,19.0
5,31,19,2,423,661,980,2023-01-05 07:03:00,2023-01-05 11:01:00,2023-01-05 16:20:00,12.0
5,31,20,3,596,904,907,2023-01-05 09:56:00,2023-01-05 15:04:00,2023-01-05 15:07:00,1.0
5,31,21,1,473,912,1038,2023-01-05 07:53:00,2023-01-05 15:12:00,2023-01-05 17:18:00,26.0
5,31,22,1,508,891,1059,2023-01-05 08:28:00,2023-01-05 14:51:00,2023-01-05 17:39:00,15.0
5,31,23,4,509,607,709,2023-01-05 08:29:00,2023-01-05 10:07:00,2023-01-05 11:49:00,9.0
5,31,24,0,588,699,1034,2023-01-05 09:48:00,2023-01-05 11:39:00,2023-01-05 17:14:00,6.0
5,31,25,4,566,673,787,2023-01-05 09:26:00,2023-01-05 11:13:00,2023-01-05 13:07:00,9.0
5,31,26,2,634,841,952,2023-01-05 10:34:00,2023-01-05 14:01:00,2023-01-05 15:52:00,17.0
5,31,27,3,454,1284,1328,2023-01-05 07:34:00,2023-01-05 21:24:00,2023-01-05 22:08:00,13.0
5,31,28,3,735,872,880,2023-01-05 12:15:00,2023-01-05 14:32:00,2023-01-05 14:40:00,13.0
5,31,29,2,456,804,930,2023-01-05 07:36:00,2023-01-05 13:24:00,2023-01-05 15:30:00,15.0
5,31,30,4,428,606,680,2023-01-05 07:08:00,2023-01-05 10:06:00,2023-01-05 11:20:00,11.0
5,31,31,1,490,827,1143,2023-01-05 08:10:00,2023-01-05 13:47:00,2023-01-05 19:03:00,25.0
6,34,1,3,487,905,910,2023-01-06 08:07:00,2023-01-06 15:05:00,2023-01-06 15:10:00,12.0
6,34,2,4,503,616,755,2023-01-06 08:23:00,2023-01-06 10:16:00,2023-01-06 12:35:00,10.0
6,34,3,5,816,989,1060,2023-01-06 13:36:00,2023-01-06 16:29:00,2023-01-06 17:40:00,11.0
6,34,4,3,478,588,590,2023-01-06 07:58:00,2023-01-06 09:48:00,2023-01-06 09:50:00,9.0
6,34,5,4,630,729,815,2023-01-06 10:30:00,2023-01-06 12:09:00,2023-01-06 13:35:00,4.0
6,34,6,1,617,966,1022,2023-01-06 10:17:00,2023-01-06 16:06:00,2023-01-06 17:02:00,28.0
6,34,7,1,432,938,943,2023-01-06 07:12:00,2023-01-06 15:38:00,2023-01-06 15:43:00,40.0
6,34,8,2,542,802,968,2023-01-06 09:02:00,2023-01-06 13:22:00,2023-01-06 16:08:00,9.0
6,34,9,2,641,795,1146,2023-01-06 10:41:00,2023-01-06 13:15:00,2023-01-06 19:06:00,6.0
6,34,10,0,422,563,915,2023-01-06 07:02:00,2023-01-06 09:23:00,2023-01-06 15:15:00,8.0
6,34,11,2,603,804,1153,2023-01-06 10:03:00,2023-01-06 13:24:00,2023-01-06 19:13:00,12.0
6,34,12,5,825,899,925,2023-01-06 13:45:00,2023-01-06 14:59:00,2023-01-06 15:25:00,5.0
6,34,13,4,499,670,712,2023-01-06 08:19:00,2023-01-06 11:10:00,2023-01-06 11:52:00,6.0
6,34,14,3,398,920,921,2023-01-06 06:38:00,2023-01-06 15:20:00,2023-01-06 15:21:00,8.0
6,34,15,2,484,696,1117,2023-01-06 08:04:00,2023-01-06 11:36:00,2023-01-06 18:37:00,15.0
6,34,16,2,361,692,958,2023-01-06 06:01:00,2023-01-06 11:32:00,2023-01-06 15:58:00,15.0
6,34,17,4,523,659,783,2023-01-06 08:43:00,2023-01-06 10:59:00,2023-01-06 13:03:00,8.0
6,34,18,1,320,766,855,2023-01-06 05:20:00,2023-01-06 12:46:00,2023-01-06 14:15:00,23.0
6,34,19,0,507,644,1007,2023-01-06 08:27:00,2023-01-06 10:44:00,2023-01-06 16:47:00,6.0
6,34,20,0,521,631,989,2023-01-06 08:41:00,2023-01-06 10:31:00,2023-01-06 16:29:00,3.0
6,34,21,2,519,685,1104,2023-01-06 08:39:00,2023-01-06 11:25:00,2023-01-06 18:24:00,17.0
6,34,22,0,489,637,944,2023-01-06 08:09:00,2023-01-06 10:37:00,2023-01-06 15:44:00,6.0
6,34,23,2,527,714,1080,2023-01-06 08:47:00,2023-01-06 11:54:00,2023-01-06 18:00:00,16.0
6,34,24,1,579,932,1154,2023-01-06 09:39:00,2023-01-06 15:32:00,2023-01-06 19:14:00,19.0
6,34,25,3,665,1173,1181,2023-01-06 11:05:00,2023-01-06 19:33:00,2023-01-06 19:41:00,16.0
6,34,26,4,445,571,636,2023-01-06 07:25:00,2023-01-06 09:31:00,2023-01-06 10:36:00,8.0
6,34,27,0,463,602,984,2023-01-06 07:43:00,2023-01-06 10:02:00,2023-01-06 16:24:00,4.0
6,34,28,2,511,762,974,2023-01-06 08:31:00,2023-01-06 12:42:00,2023-01-06 16:14:00,15.0
6,34,29,5,842,928,1058,2023-01-06 14:02:00,2023-01-06 15:28:00,2023-01-06 17:38:00,8.0
6,34,30,2,546,785,1000,2023-01-06 09:06:00,2023-01-06 13:05:00,2023-01-06 16:40:00,9.0
6,34,31,2,582,770,1031,2023-01-06 09:42:00,2023-01-06 12:50:00,2023-01-06 17:11:00,12.0
6,34,32,0,530,669,982,2023-01-06 08:50:00,2023-01-06 11:09:00,2023-01-06 16:22:00,5.0
6,34,33,2,506,709,1072,2023-01-06 08:26:00,2023-01-06 11:49:00,2023-01-06 17:52:00,15.0
6,34,34,2,545,760,991,2023-01-06 09:05:00,2023-01-06 12:40:00,2023-01-06 16:31:00,10.0
7,7,1,3,469,833,834,2023-01-07 07:49:00,2023-01-07 13:53:00,2023-01-07 13:54:00,1.0
7,7,2,1,427,812,891,2023-01-07 07:07:00,2023-01-07 13:32:00,2023-01-07 14:51:00,12.0
7,7,3,4,451,638,740,2023-01-07 07:31:00,2023-01-07 10:38:00,2023-01-07 12:20:00,6.0
7,7,4,3,492,1022,1032,2023-01-07 08:12:00,2023-01-07 17:02:00,2023-01-07 17:12:00,19.0
7,7,5,1,439,790,955,2023-01-07 07:19:00,2023-01-07 13:10:00,2023-01-07 15:55:00,24.0
7,7,6,4,535,629,691,2023-01-07 08:55:00,2023-01-07 10:29:00,2023-01-07 11:31:00,10.0
7,7,7,2,614,781,1026,2023-01-07 10:14:00,2023-01-07 13:01:00,2023-01-07 17:06:00,7.0
8,7,1,2,529,733,1043,2023-01-08 08:49:00,2023-01-08 12:13:00,2023-01-08 17:23:00,14.0
8,7,2,2,386,693,824,2023-01-08 06:26:00,2023-01-08 11:33:00,2023-01-08 13:44:00,13.0
8,7,3,2,531,752,1085,2023-01-08 08:51:00,2023-01-08 12:32:00,2023-01-08 18:05:00,8.0
8,7,4,0,479,558,1039,2023-01-08 07:59:00,2023-01-08 09:18:00,2023-01-08 17:19:00,7.0
8,7,5,1,401,695,907,2023-01-08 06:41:00,2023-01-08 11:35:00,2023-01-08 15:07:00,24.0
8,7,6,2,489,748,969,2023-01-08 08:09:00,2023-01-08 12:28:00,2023-01-08 16:09:00,12.0
8,7,7,0,499,582,973,2023-01-08 08:19:00,2023-01-08 09:42:00,2023-01-08 16:13:00,5.0
9,35,1,1,557,1029,1031,2023-01-09 09:17:00,2023-01-09 17:09:00,2023-01-09 17:11:00,0.0
9,35,2,4,529,687,753,2023-01-09 08:49:00,2023-01-09 11:27:00,2023-01-09 12:33:00,0.0
9,35,3,4,518,639,753,2023-01-09 08:38:00,2023-01-09 10:39:00,2023-01-09 12:33:00,12.0
9,35,4,4,489,557,655,2023-01-09 08:09:00,2023-01-09 09:17:00,2023-01-09 10:55:00,8.0
9,35,5,3,473,1037,1048,2023-01-09 07:53:00,2023-01-09 17:17:00,2023-01-09 17:28:00,11.0
9,35,6,0,383,545,1038,2023-01-09 06:23:00,2023-01-09 09:05:00,2023-01-09 17:18:00,7.0
9,35,7,2,598,856,1009,2023-01-09 09:58:00,2023-01-09 14:16:00,2023-01-09 16:49:00,16.0
9,35,8,1,451,835,1031,2023-01-09 07:31:00,2023-01-09 13:55:00,2023-01-09 17:11:00,11.0
9,35,9,0,489,603,990,2023-01-09 08:09:00,2023-01-09 10:03:00,2023-01-09 16:30:00,8.0
9,35,10,4,437,595,648,2023-01-09 07:17:00,2023-01-09 09:55:00,2023-01-09 10:48:00,5.0
9,35,11,2,473,780,870,2023-01-09 07:53:00,2023-01-09 13:00:00,2023-01-09 14:30:00,12.0
9,35,12,4,537,781,853,2023-01-09 08:57:00,2023-01-09 13:01:00,2023-01-09 14:13:00,4.0
9,35,13,1,437,872,884,2023-01-09 07:17:00,2023-01-09 14:32:00,2023-01-09 14:44:00,8.0
9,35,14,2,414,698,934,2023-01-09 06:54:00,2023-01-09 11:38:00,2023-01-09 15:34:00,14.0
9,35,15,2,566,742,996,2023-01-09 09:26:00,2023-01-09 12:22:00,2023-01-09 16:36:00,9.0
9,35,16,5,823,920,1112,2023-01-09 13:43:00,2023-01-09 15:20:00,2023-01-09 18:32:00,6.0
9,35,17,2,480,691,992,2023-01-09 08:00:00,2023-01-09 11:31:00,2023-01-09 16:32:00,10.0
9,35,18,1,515,835,939,2023-01-09 08:35:00,2023-01-09 13:55:00,2023-01-09 15:39:00,21.0
9,35,19,0,465,607,965,2023-01-09 07:45:00,2023-01-09 10:07:00,2023-01-09 16:05:00,5.0
9,35,20,2,610,862,922,2023-01-09 10:10:00,2023-01-09 14:22:00,2023-01-09 15:22:00,13.0
9,35,21,0,534,622,1003,2023-01-09 08:54:00,2023-01-09 10:22:00,2023-01-09 16:43:00,6.0
9,35,22,4,506,700,791,2023-01-09 08:26:00,2023-01-09 11:40:00,2023-01-09 13:11:00,11.0
9,35,23,1,537,859,979,2023-01-09 08:57:00,2023-01-09 14:19:00,2023-01-09 16:19:00,8.0
9,35,24,1,651,939,1089,2023-01-09 10:51:00,2023-01-09 15:39:00,2023-01-09 18:09:00,16.0
9,35,25,0,456,595,1053,2023-01-09 07:36:00,2023-01-09 09:55:00,2023-01-09 17:33:00,9.0
9,35,26,2,464,695,1005,2023-01-09 07:44:00,2023-01-09 11:35:00,2023-01-09 16:45:00,11.0
9,35,27,2,462,648,999,2023-01-09 07:42:00,2023-01-09 10:48:00,2023-01-09 16:39:00,17.0
9,35,28,5,927,949,1056,2023-01-09 15:27:00,2023-01-09 15:49:00,2023-01-09 17:36:00,4.0
9,35,29,1,576,849,931,2023-01-09 09:36:00,2023-01-09 14:09:00,2023-01-09 15:31:00,28.0
9,35,30,2,506,712,1083,2023-01-09 08:26:00,2023-01-09 11:52:00,2023-01-09 18:03:00,8.0
9,35,31,5,722,770,978,2023-01-09 12:02:00,2023-01-09 12:50:00,2023-01-09 16:18:00,11.0
9,35,32,5,776,984,1100,2023-01-09 12:56:00,2023-01-09 16:24:00,2023-01-09 18:20:00,7.0
9,35,33,2,494,720,1028,2023-01-09 08:14:00,2023-01-09 12:00:00,2023-01-09 17:08:00,13.0
9,35,34,3,441,1378,1381,2023-01-09 07:21:00,2023-01-09 22:58:00,2023-01-09 23:01:00,29.0
9,35,35,2,560,753,1018,2023-01-09 09:20:00,2023-01-09 12:33:00,2023-01-09 16:58:00,10.0
10,32,1,4,422,544,672,2023-01-10 07:02:00,2023-01-10 09:04:00,2023-01-10 11:12:00,6.0
10,32,2,5,787,915,1113,2023-01-10 13:07:00,2023-01-10 15:15:00,2023-01-10 18:33:00,7.0
10,32,3,1,601,935,1119,2023-01-10 10:01:00,2023-01-10 15:35:00,2023-01-10 18:39:00,16.0
10,32,4,4,574,662,763,2023-01-10 09:34:00,2023-01-10 11:02:00,2023-01-10 12:43:00,13.0
10,32,5,3,410,921,922,2023-01-10 06:50:00,2023-01-10 15:21:00,2023-01-10 15:22:00,15.0
10,32,6,2,424,779,925,2023-01-10 07:04:00,2023-01-10 12:59:00,2023-01-10 15:25:00,17.0
10,32,7,4,486,687,747,2023-01-10 08:06:00,2023-01-10 11:27:00,2023-01-10 12:27:00,10.0
10,32,8,0,457,519,1006,2023-01-10 07:37:00,2023-01-10 08:39:00,2023-01-10 16:46:00,6.0
10,32,9,3,634,1124,1131,2023-01-10 10:34:00,2023-01-10 18:44:00,2023-01-10 18:51:00,22.0
10,32,10,2,472,813,988,2023-01-10 07:52:00,2023-01-10 13:33:00,2023-01-10 16:28:00,13.0
10,32,11,2,551,809,924,2023-01-10 09:11:00,2023-01-10 13:29:00,2023-01-10 15:24:00,17.0
10,32,12,0,521,577,1014,2023-01-10 08:41:00,2023-01-10 09:37:00,2023-01-10 16:54:00,3.0
10,32,13,1,546,966,1154,2023-01-10 09:06:00,2023-01-10 16:06:00,2023-01-10 19:14:00,15.0
10,32,14,5,811,1012,1040,2023-01-10 13:31:00,2023-01-10 16:52:00,2023-01-10 17:20:00,7.0
10,32,15,2,464,709,1024,2023-01-10 07:44:00,2023-01-10 11:49:00,2023-01-10 17:04:00,10.0
10,32,16,4,589,718,800,2023-01-10 09:49:00,2023-01-10 11:58:00,2023-01-10 13:20:00,5.0
10,32,17,1,522,815,927,2023-01-10 08:42:00,2023-01-10 13:35:00,2023-01-10 15:27:00,38.0
10,32,18,4,488,604,689,2023-01-10 08:08:00,2023-01-10 10:04:00,2023-01-10 11:29:00,3.0
10,32,19,0,580,759,995,2023-01-10 09:40:00,2023-01-10 12:39:00,2023-01-10 16:35:00,6.0
10,32,20,0,541,661,984,2023-01-10 09:01:00,2023-01-10 11:01:00,2023-01-10 16:24:00,8.0
10,32,21,3,502,830,841,2023-01-10 08:22:00,2023-01-10 13:50:00,2023-01-10 14:01:00,27.0
10,32,22,4,471,663,718,2023-01-10 07:51:00,2023-01-10 11:03:00,2023-01-10 11:58:00,10.0
10,32,23,0,531,673,1040,2023-01-10 08:51:00,2023-01-10 11:13:00,2023-01-10 17:20:00,6.0
